date_added,week,category,consolidated_title,weekly_rank,cumulative_weeks_in_top_10,weekly_hours_viewed,imdb_rating,runtime
26-04-2022,24-04-2022,TV (Non-English),Elite: Season 5,2,3,29490000.0,7.4,60
10-05-2022,08-05-2022,Films (English),Sonic the Hedgehog,2,2,17150000.0,6.5,99
28-06-2022,26-06-2022,Films (English),Collision,7,2,8450000.0,3.8,106
19-04-2022,17-04-2022,Films (Non-English),Black Crab,7,5,3040000.0,7.0,125
26-04-2022,24-04-2022,TV (Non-English),Happiness,8,2,10820000.0,7.0,60
03-05-2022,01-05-2022,TV (Non-English),Elite: Season 5,4,4,14890000.0,7.4,60
21-06-2022,19-06-2022,Films (English),Senior Year,10,6,4200000.0,5.5,111
24-05-2022,22-05-2022,TV (English),Savage Beauty: Season 1,9,2,13497500.0,4.6,45
24-05-2022,22-05-2022,Films (Non-English),RRR (Hindi),6,1,3858251.0,7.0,125
14-06-2022,12-06-2022,Films (Non-English),Gladbeck: The Hostage Crisis,9,1,1830000.0,7.5,91
07-06-2022,05-06-2022,TV (Non-English),SHAMAN KING: Season 1,9,2,8770000.0,7.2,23
21-06-2022,19-06-2022,TV (English),Peaky Blinders: Season 6,2,2,61360000.0,8.8,60
03-05-2022,01-05-2022,Films (English),The Vault,5,3,6660000.0,6.4,91
14-06-2022,12-06-2022,TV (Non-English),The Perfect Mother: Season 1,3,2,16150000.0,6.0,92
10-05-2022,08-05-2022,TV (English),Heartstopper: Season 1,6,3,14970000.0,6.4,85
21-06-2022,19-06-2022,TV (English),God's Favorite Idiot: Season 1,8,1,22480000.0,5.7,30
21-06-2022,19-06-2022,Films (English),Halftime,4,1,18880000.0,6.5,95
12-04-2022,10-04-2022,Films (Non-English),Retfærdighedens ryttere,9,1,3710000.0,7.0,125
05-04-2022,03-04-2022,Films (English),The Bubble,2,1,12450000.0,4.7,126
10-05-2022,08-05-2022,TV (English),Anatomy of a Scandal: Limited Series,5,4,15340000.0,7.0,268
07-06-2022,05-06-2022,TV (Non-English),Our Blues: Season 1,4,6,12910000.0,8.3,60
10-05-2022,08-05-2022,TV (English),Bridgerton: Season 2,3,7,21240000.0,7.3,60
26-04-2022,24-04-2022,TV (Non-English),"Yo soy Betty, la fea: Season 1",9,20,10490000.0,8.2,30
24-05-2022,22-05-2022,Films (Non-English),The Takedown,3,3,6537243.0,7.0,125
07-06-2022,05-06-2022,TV (Non-English),Who Killed Sara?: Season 3,2,3,15570000.0,6.5,60
14-06-2022,12-06-2022,TV (Non-English),"Yo soy Betty, la fea: Season 1",9,26,9680000.0,8.2,30
17-05-2022,15-05-2022,Films (English),365 Days: This Day,7,3,10580000.0,2.5,111
05-04-2022,03-04-2022,TV (Non-English),Thirty-Nine: Season 1,5,4,13510000.0,7.9,60
24-05-2022,22-05-2022,TV (English),Ozark: Season 4,2,11,22237800.0,8.5,60
17-05-2022,15-05-2022,TV (Non-English),42 Days of Darkness: Season 1,7,1,9920000.0,7.0,60
24-05-2022,22-05-2022,TV (English),Bling Empire: Season 2,5,2,14823571.0,5.9,38
19-04-2022,17-04-2022,Films (Non-English),In Good Hands,8,4,2550000.0,7.0,125
19-04-2022,17-04-2022,Films (English),How It Ends,6,2,8600000.0,5.0,113
17-05-2022,15-05-2022,TV (English),The Circle: Season 4,5,1,14120000.0,5.4,48
03-05-2022,01-05-2022,Films (English),Shrek,10,7,4540000.0,6.6,106
10-05-2022,08-05-2022,TV (English),Selling Sunset: Season 5,4,3,17410000.0,6.5,30
17-05-2022,15-05-2022,TV (Non-English),Business Proposal: Season 1,3,10,20160000.0,8.8,60
28-06-2022,26-06-2022,Films (English),It,10,1,8350000.0,7.3,135
21-06-2022,19-06-2022,Films (Non-English),Ben & Jody,9,1,1950000.0,7.0,125
07-06-2022,05-06-2022,Films (Non-English),RRR (Hindi),1,3,13940000.0,7.0,125
03-05-2022,01-05-2022,Films (English),Sonic the Hedgehog,9,1,4920000.0,6.5,99
26-04-2022,24-04-2022,TV (English),Selling Sunset: Season 5,5,1,28360000.0,6.5,30
31-05-2022,29-05-2022,Films (English),Cleveland Abduction,7,1,6360000.0,6.7,88
17-05-2022,15-05-2022,TV (English),Ozark: Season 4,1,10,48620000.0,8.5,60
24-05-2022,22-05-2022,TV (English),Workin' Moms: Season 6,8,2,14862005.0,7.7,30
10-05-2022,08-05-2022,Films (Non-English),Brother in Love 2,10,1,2050000.0,7.0,125
19-04-2022,17-04-2022,Films (Non-English),Through My Window,10,10,2280000.0,5.5,116
19-04-2022,17-04-2022,TV (Non-English),Business Proposal: Season 1,2,6,24190000.0,8.8,60
31-05-2022,29-05-2022,TV (English),Stranger Things,3,2,38050000.0,8.7,51
05-04-2022,03-04-2022,TV (Non-English),Café con aroma de mujer: Season 1,3,14,15230000.0,7.6,45
05-04-2022,03-04-2022,TV (Non-English),Business Proposal: Season 1,1,4,32520000.0,8.8,60
24-05-2022,22-05-2022,TV (Non-English),"Yo soy Betty, la fea: Season 1",10,24,9392200.0,8.2,30
05-04-2022,03-04-2022,TV (Non-English),Pasión de Gavilanes: Season 1,10,1,5530000.0,8.0,60
26-04-2022,24-04-2022,TV (Non-English),Yakamoz S-245: Season 1,3,1,22060000.0,6.1,45
12-04-2022,10-04-2022,Films (Non-English),Ya veremos,10,2,3580000.0,7.0,125
19-04-2022,17-04-2022,TV (English),Better Call Saul: Season 5,8,2,12430000.0,8.8,46
28-06-2022,26-06-2022,TV (English),First Kill: Season 1,9,3,18550000.0,5.0,97
24-05-2022,22-05-2022,Films (English),Our Father,5,2,11196800.0,5.5,96
26-04-2022,24-04-2022,TV (English),The Ultimatum: Marry or Move On: Season 1,4,3,29010000.0,5.4,60
12-04-2022,10-04-2022,TV (Non-English),Twenty Five Twenty One: Season 1,3,7,22530000.0,8.9,70
07-06-2022,05-06-2022,TV (English),Stranger Things,2,3,75080000.0,8.7,51
03-05-2022,01-05-2022,TV (English),The Creature Cases: Season 1,10,2,11760000.0,8.5,28
31-05-2022,29-05-2022,TV (English),Stranger Things 4,1,1,286790000.0,8.7,51
